name,email,department
Les-baux-de-provence,accueil-mairie@lesbauxdeprovence.com,13
Les-pennes-mirabeau,dgs@vlpm.com,13
Le-tholonet,mairie.letholonet@wanadoo.fr,13
Maillane,mairiedemaillane@wanadoo.fr,13
Mallemort,mairie.mallemort@wanadoo.fr,13
Marignane,contact@ville-marignane.fr,13
Marseille,sgm-internet-direction@mairie-marseille.fr,13
Marseille-secteur-01,"",13
Marseille-secteur-02,"",13
Marseille-secteur-03,"",13
Marseille-secteur-04,"",13
Marseille-secteur-05,"",13
Marseille-secteur-06,dtian@mairie-marseille.fr,13
Marseille-secteur-07,webmaster@mairiedupremiersecteur.fr,13
Marseille-secteur-08,mairie-info15-16@mairie-marseille.fr,13
Martigues,le-maire@ville-martigues.fr,13
Mas-blanc-des-alpilles,mairie.mba@wanadoo.fr,13
Maussane-les-alpilles,mairie-maussane-les-alpilles@wanadoo.fr,13
Meyrargues,meyrarguesinfosmairie@wanadoo.fr,13
Meyreuil,info@ville-meyreuil.fr,13
Mimet,mimet.mairie@wanadoo.fr,13
Miramas,le.maire@mairie-miramas.fr,13
Molleges,mairie-molleges@wanadoo.fr,13
Mouries,dgs@mairie-mouries.fr,13
Noves,mairie.de.noves@wanadoo.fr,13
Orgon,mairie@orgon.fr,13
Paradou,mairie.paradou@wanadoo.fr,13
Pelissanne,mairie.pelissanne@wanadoo.fr,13
Peynier,peynier.infos@ville-peynier.fr,13
Peypin,mairie.peypin@orange.fr,13
Peyrolles-en-provence,contact@mairie-peyrollesenprovence.fr,13
Plan-de-cuques,mairie@plandecuques.fr,13
Plan-d-orgon,mairie.de.plan.d-orgon@wanadoo.fr,13
Port-de-bouc,contact@portdebouc.fr,13
Port-saint-louis-du-rhone,cabinetdumaire@portsaintlouis.fr,13
Puyloubier,mairie-de-puyloubier@wanadoo.fr,13
Rognac,communication@mairie-rognac.fr,13
Rognes,info@ville-rognes.fr,13
Rognonas,rognonas.accueil@wanadoo.fr,13
Roquefort-la-bedoule,accueil@roquefort-labedoule.fr,13
Roquevaire,contact@ville-roquevaire.fr,13
Rousset,mairie@rousset-fr.com,13
Saint-andiol,mairie@st-andiol.fr,13
Saint-antonin-sur-bayon,mairiestantonin@wanadoo.fr,13
Saint-cannat,webmestre@ville-saint-cannat.fr,13
Saint-chamas,contact@saint-chamas.com,13
Saintes-maries-de-la-mer,info@saintesmaries.com,13
Saint-esteve-janson,saint-esteve-janson@wanadoo.fr,13
Saint-etienne-du-gres,"",13
Saint-marc-jaumegarde,mairie@saint-marc-jaumegarde.fr,13
Saint-martin-de-crau,mairie-smc@ville-saint-martin-de-crau.fr,13
Saint-mitre-les-remparts,smi@saintmitrelesremparts.fr,13
Saint-paul-les-durance,mairie@stpaul.fr,13
Saint-pierre-de-mezoargue,mairie.spm@wanadoo.fr,13
Saint-remy-de-provence,contact@mairie-saintremydeprovence.fr,13
Saint-savournin,mairie.stsavournin@wanadoo.fr,13
Saint-victoret,contact@ville-saint-victoret.fr,13
Salon-de-provence,salon.etatcivil@salon-de-provence.org,13
Sausset-les-pins,mairie-slp@ville-sausset-les-pins.fr,13
Senas,secretariat-maire@ville-de-senas.fr,13
Septemes-les-vallons,secretariat@ville-septemes.fr,13
Simiane-collongue,accueil.mairie@simiane-collongue.fr,13
Tarascon,courrier@mairie-tarascon13.fr,13
Trets,accueil@ville-de-trets.fr,13
Vauvenargues,mairie-vauvenargues@wanadoo.fr,13
Velaux,scecom@mairie-de-velaux.fr,13
Venelles,communication@Venelles.fr,13
Ventabren,moyensgeneraux@ventabren.fr,13
Vernegues,mairie.vernegues@wanadoo.fr,13
Verquieres,mairie-de-verquieres@wanadoo.fr,13
Vitrolles,communication@ville-vitrolles13.fr,13
Althen-des-paluds,adpmairie@yahoo.fr,84
Ansouis,mairie@ansouis.fr,84
Apt,mairie@apt.fr,84
Aubignan,mairie@aubignan.fr,84
Aurel,aurel.mairie@wanadoo.fr,84
Auribeau,"",84
Avignon,contact@mairie-avignon.com,84
Beaumes-de-venise,accueil.mairie@beaumes-de-venise.fr,84
Beaumettes,mairie.lesbeaumettes@wanadoo.fr,84
Beaumont-de-pertuis,beaumontdepertuis.84014@wanadoo.fr,84
Beaumont-du-ventoux,mbeaumontvx@wanadoo.fr,84
Bedarrides,secretariat.maire@ville-bedarrides.fr,84
Bedoin,mairie.bedoin@wanadoo.fr,84
Blauvac,blauvac@wanadoo.fr,84
Bollene,mairie.bollene@wanadoo.fr,84
Bonnieux,mairiedebonnieux@wanadoo.fr,84
Brantes,mairie.brantes@orange.fr,84
Buisson,communebuisson@wanadoo.fr,84
Buoux,mairiedebuoux@orange.fr,84
Cabrieres-d-aigues,mairie.cabrieres@wanadoo.fr,84
Cabrieres-d-avignon,mairiecabrieres84@orange-business.fr,84
Cadenet,mairie@cadenet.com,84
Caderousse,ville.caderousse@free.fr,84
Cairanne,cairanne.mairie@wanadoo.fr,84
Camaret-sur-aigues,contact@camaret.org,84
Caromb,contact@ville-caromb.fr,84
Carpentras,mairie@carpentras.fr,84
Caseneuve,mairie84750@orange.fr,84
Castellet,mairie.castellet@wanadoo.fr,84
Caumont-sur-durance,info@caumont-sur-durance.fr,84
Cavaillon,communication@ville-cavaillon.fr,84
Chateauneuf-de-gadagne,contact@chateauneufdegadagne.com,84
Chateauneuf-du-pape,info@mairie.chateauneuf.com,84
Cheval-blanc,mairie@ville-chevalblanc.fr,84
Courthezon,mairie@courthezon.fr,84
Crestet,mairiecrestet@orange.fr,84
Crillon-le-brave,mairie.crillonlebrave@wanadoo.fr,84
Cucuron,mairie-cucuron@wanadoo.fr,84
Entraigues-sur-la-sorgue,contact@mairie-entraigues.fr,84
Entrechaux,mairie.entrechaux@wanadoo.fr,84
Faucon,mairie.faucon@free.fr,84
Flassan,mairie.flassan84@wanadoo.fr,84
Fontaine-de-vaucluse,mairie.fontainedevaucluse@orange.fr,84
Gargas,info@ville-gargas.fr,84
Gignac,mairiedegignac@orange.fr,84
Gigondas,informations@gigondas-mairie.fr,84
Gordes,gordes@wanadoo.fr,84
Goult,mairie-goult@wanadoo.fr,84
Grambois,mairie.grambois@wanadoo.fr,84
Grillon,mairiegrillon@orange.fr,84
Jonquerettes,mairie@jonquerettes.fr,84
Jonquieres,mairie@jonquieres.fr,84
Joucas,mairie.joucas@wanadoo.fr,84
La-bastide-des-jourdans,bastidedesj@wanadoo.fr,84
La-bastidonne,mairie.labastidonne@wanadoo.fr,84
Lacoste,mairie@lacoste-84.com,84
Lafare,joelle.mairielafare@orange.fr,84
Lagarde-d-apt,mairiedelagardedapt@orange.fr,84
Lagarde-pareol,mairie.lagardepareol@orange.fr,84
Lagnes,commune-de-lagnes@wanadoo.fr,84
La-motte-d-aigues,mairie-lamotte@wanadoo.fr,84
Lamotte-du-rhone,mairie.lamotte@wanadoo.fr,84
Lapalud,accueil@lapalud.net,84
La-roque-alric,mairie.laroquealric@gmail.com,84
La-roque-sur-pernes,mairie.laroque.pernes@wanadoo.fr,84
La-tour-d-aigues,accueil.mairie@latourdaigues.fr,84
Lauris,commune.lauris@wanadoo.fr,84
Le-barroux,contact@mairie-lebarroux.fr,84
Le-beaucet,mairie.beaucet@wanadoo.fr,84
Le-pontet,siteofficiel@ville-le-pontet84.fr,84
Le-thor,communication@ville-lethor.fr,84
Lioux,mairie.lioux@wanadoo.fr,84
L-isle-sur-la-sorgue,communication@mairie-islesurlasorgue.fr,84
Loriol-du-comtat,mairiedeloriol@wanadoo.fr,84
Lourmarin,mairie@lourmarin.com,84
Malaucene,mairie@malaucene.fr,84
Malemort-du-comtat,accueil-mairie@malemortducomtat.fr,84
Maubec,mairiemaubec@wanadoo.fr,84
Mazan,mairie-mazan@wanadoo.fr,84
Menerbes,mairiemenerbes@wanadoo.fr,84
Merindol,mairie.merindol@wanadoo.fr,84
Methamis,mairie.de.methamis@wanadoo.fr,84
Mirabeau,mairiemirabeau@wanadoo.fr,84
Modene,mairiedemodene@orange.fr,84
Mondragon,mairiedemondragon@wanadoo.fr,84
Monieux,mairie-de-monieux@wanadoo.fr,84
Monteux,ville.monteux@monteux.fr,84
Morieres-les-avignon,contacts@morieres.fr,84
Mormoiron,mairie-mormoiron1@wanadoo.fr,84
Mornas,mairie-mornas@orange.fr,84
Murs,mairiedemurs@wanadoo.fr,84
Oppede,mairie-oppede@wanadoo.fr,84
Orange,communication@ville-orange.fr,84
Pernes-les-fontaines,mairie@ville-pernes-les-fontaines.fr,84
Pertuis,communication@mairie-pertuis.fr,84
Peypin-d-aigues,mairie.peypin.aigues@orange.fr,84
Piolenc,mairie.piolenc@wanadoo.fr,84
Puget,mairie.puget@wanadoo.fr,84
Puymeras,mairie.puymeras@gmail.com,84
Puyvert,mairie.puyvert@wanadoo.fr,84
Rasteau,mairie@rasteau.fr,84
Richerenches,mairie.richerenches@orange.fr,84
Roaix,mairie.roaix@wanadoo.fr,84
Robion,dgs@mairie-robion.fr,84
Roussillon,accueil@roussillon-en-provence.fr,84
Rustrel,rustrel.mairie@wanadoo.fr,84
Sablet,sablet.mairie@wanadoo.fr,84
Saignon,mairiedesaignon@wanadoo.fr,84
Saint-christol,mairie-saintchristol@wanadoo.fr,84
Saint-didier,mairie@saint-didier84.fr,84
Sainte-cecile-les-vignes,mairie@sainte-cecile.org,84
Saint-hippolyte-le-graveyron,mairiesainthippolytelegraveyron@wanadoo.fr,84
Saint-leger-du-ventoux,mairie-st-leger-ventoux@orange.fr,84
Saint-marcellin-les-vaison,st-marcellin-vaison@wanadoo.fr,84
Saint-martin-de-castillon,mairiedesaintmartindecastillon@orange.fr,84
Saint-martin-de-la-brasque,mairiestmartin3@orange.fr,84
Saint-pantaleon,mairie.stpantaleon@wanadoo.fr,84
Saint-pierre-de-vassols,mairie84vassols@wanadoo.fr,84
Saint-romain-en-viennois,commune.stromain@orange.fr,84
Saint-roman-de-malegarde,mairie.stromandemalegarde@wanadoo.fr,84
Saint-saturnin-les-apt,mairie-saintsaturninlesapt@wanadoo.fr,84
Saint-saturnin-les-avignon,mairie@saintsaturnin.com,84
Saint-trinit,mairie.sainttrinit.84@wanadoo.fr,84
Sannes,mairie.sannes@wanadoo.fr,84
Sarrians,mairie@ville-sarrians.fr,84
Sault,mairie-sault-84@orange.fr,84
Saumane-de-vaucluse,mairie-saumane@wanadoo.fr,84
Savoillan,commune-de-savoillans@orange.fr,84
Seguret,mairie.seguret@orange.fr,84
Serignan-du-comtat,p.rousseau@serignanducomtat.com,84
Sivergues,"",84
Sorgues,mairie@ville-sorgues.fr,84
Suzette,mairie.suzette@orange.fr,84
Taillades,mairie.taillades@wanadoo.fr,84
Travaillan,mairie.travaillan@wanadoo.fr,84
Uchaux,mairie.uchaux@wanadoo.fr,84
Vacqueyras,mairie.vacqueyras@orange.fr,84
Vaison-la-romaine,mairie@vaison-la-romaine.com,84
Valreas,communication@mairie-valreas.fr,84
Vaugines,mairie.vaugines@wanadoo.fr,84
Vedene,villedevedene@avignon.pacwan.net,84
Velleron,contact@velleron.fr,84
Venasque,mairie@venasque.fr,84
Viens,commune-de-viens@wanadoo.fr,84
Villars,mairie.villars.vaucluse@wanadoo.fr,84
Villedieu,villedieu.mairie@wanadoo.fr,84
Villelaure,villelauremairie@orange.fr,84
Villes-sur-auzon,commune-villes-sur-auzon@wanadoo.fr,84
Violes,mairie-de-violes@wanadoo.fr,84
Visan,sg.visan@orange.fr,84
Vitrolles-en-luberon,mairie.vitrolles-en-luberon@wanadoo.fr,84
Anse-bertrand,contact@ansebertrand.com,971
Baie-mahault,contact@baiemahault.fr,971
Baillif,baillif.ville@wanadoo.fr,971
Basse-terre,"",971
Bouillante,bouillante.ville@wanadoo.fr,971
Capesterre-belle-eau,infos@villedecapesterre.fr,971
Capesterre-de-marie-galante,calixteg@wanadoo.fr,971
Deshaies,"",971
Gourbeyre,hello@largeoange.com,971
Goyave,"",971
Grand-bourg,grand-bourg.ville@wanadoo.fr,971
La-desirade,"",971
Lamentin,accueilmairie.lamentin@mairie-lamentin971.fr,971
Le-gosier,gosier.mairie@wanadoo.fr,971
Le-moule,si.moule@wanadoo.fr,971
Les-abymes,mairie.all@ville-des-abymes.fr,971
Morne-a-l-eau,"",971
Petit-bourg,"",971
Petit-canal,petit-canal.ville@wanadoo.fr,971
Pointe-a-pitre,direction.generale@ville-pointeapitre.fr,971
Pointe-noire,sd.pointe-noire.97116@orange.fr,971
Port-louis,mairie@ville-portlouis.fr,971
Saint-barthelemy,mairie.stbarth@wanadoo.fr,971
Saint-claude,info@saint-claude.fr,971
Sainte-anne,"",971
Sainte-rose,"",971
Saint-francois,mairie-saint-francois-guadeloupe@wanadoo.fr,971
Saint-louis,secret.maire-stlouis@wanadoo.fr,971
Saint-martin,jean.arnell@com-saint-martin.fr,971
Terre-de-bas,mairie.terre.de.bas@wanadoo.fr,971
Terre-de-haut,terre-de-haut@orange.fr,971
Trois-rivieres,mairie.trois.rivieres@wanadoo.fr,971
Vieux-fort,mairie@ville-vieux-fort.fr,971
Vieux-habitants,"",971
